ReviewID,UserID,RecipeID,Stars,Comments
1,62,1331158,3,Perfect for meal prep! I portioned it out for lunches and it held up really well.
2,157,1019041,4,My family loved this recipe! Even my picky kids went back for seconds.
3,114,152444,2,Way too spicy for me. I couldn't finish it even though I followed the instructions exactly.
4,146,210919,4,"Could use more seasoning and maybe a touch of lemon. Otherwise, it was okay."
5,132,350469,4,"Simple, quick, and satisfying. I’ll be making this part of our regular rotation."
6,120,1181140,2,"Will definitely make again. It’s hearty, delicious, and easy to customize."
7,95,1695793,5,"Could use more seasoning and maybe a touch of lemon. Otherwise, it was okay."
8,3,2066015,4,The sauce was amazing and paired really well with rice. Great comfort food!
9,20,1701227,2,My family loved this recipe! Even my picky kids went back for seconds.
10,94,1144589,1,"Could use more seasoning and maybe a touch of lemon. Otherwise, it was okay."
11,62,696,3,Not as good as expected. The texture was off and it lacked flavor.
12,48,943980,4,This dish was packed with flavor and came together easily. Highly recommend for busy weeknights.
13,36,1166777,3,"Could use more seasoning and maybe a touch of lemon. Otherwise, it was okay."
14,72,977797,2,Way too spicy for me. I couldn't finish it even though I followed the instructions exactly.
15,22,221246,4,"Will definitely make again. It’s hearty, delicious, and easy to customize."
16,190,396493,5,Perfect for meal prep! I portioned it out for lunches and it held up really well.
17,37,495270,1,Perfect for meal prep! I portioned it out for lunches and it held up really well.
18,180,1675961,1,Not as good as expected. The texture was off and it lacked flavor.
19,51,595592,3,"Will definitely make again. It’s hearty, delicious, and easy to customize."
20,17,1554305,2,My family loved this recipe! Even my picky kids went back for seconds.
21,101,1885089,2,"Could use more seasoning and maybe a touch of lemon. Otherwise, it was okay."
22,144,1570716,1,Not as good as expected. The texture was off and it lacked flavor.
23,25,815039,1,"Simple, quick, and satisfying. I’ll be making this part of our regular rotation."
24,152,1766509,5,Way too spicy for me. I couldn't finish it even though I followed the instructions exactly.
25,167,70986,1,Way too spicy for me. I couldn't finish it even though I followed the instructions exactly.
26,142,2224361,5,This dish was packed with flavor and came together easily. Highly recommend for busy weeknights.
27,129,1938847,1,Way too spicy for me. I couldn't finish it even though I followed the instructions exactly.
28,19,1698314,3,"Simple, quick, and satisfying. I’ll be making this part of our regular rotation."
29,118,1821999,5,Perfect for meal prep! I portioned it out for lunches and it held up really well.
30,14,884001,2,Not as good as expected. The texture was off and it lacked flavor.
31,141,1923274,3,Not as good as expected. The texture was off and it lacked flavor.
32,123,331561,4,This dish was packed with flavor and came together easily. Highly recommend for busy weeknights.
33,149,1099133,4,"Could use more seasoning and maybe a touch of lemon. Otherwise, it was okay."
34,74,297572,2,Perfect for meal prep! I portioned it out for lunches and it held up really well.
35,100,518915,4,Way too spicy for me. I couldn't finish it even though I followed the instructions exactly.
36,166,1728313,3,The sauce was amazing and paired really well with rice. Great comfort food!
37,96,1744273,1,The sauce was amazing and paired really well with rice. Great comfort food!
38,22,1772342,5,My family loved this recipe! Even my picky kids went back for seconds.
39,38,1598267,4,The sauce was amazing and paired really well with rice. Great comfort food!
40,4,2179744,1,My family loved this recipe! Even my picky kids went back for seconds.
