IngredientID,Name,CaloriesPerUnit,Protein
1,cream cheese,51,0.9
2,neufchatel cheese,215,7.8
3,requeijao cremoso light catupiry,49,0.8
4,ricotta cheese,30,1.5
5,cream cheese low fat,30,1.2
6,cream cheese fat free,19,2.8
7,gruyere cheese,116,8.3
8,cheddar cheese,113,6.4
9,parmesan cheese,71,6.4
10,romano cheese,19,1.6
11,parmesan cheese grated,21,1.4
12,port salut cheese,465,31.4
13,swiss cheese,98,6.7
14,goat cheese hard,128,8.6
15,gouda cheese,100,7
16,pepper jack cheese lucerne,75,5
17,caraway cheese,106,7.1
18,gjetost cheese,1058,21.9
19,tilsit cheese,136,9.8
20,goat cheese,103,6.1
21,brick cheese,111,7
22,asadero cheese,402,25.5
23,camembert cheese,90,5.9
24,provolone cheese reduced fat,310,27.9
25,roquefort cheese,314,18.3
26,queso blanco cheese,366,24
27,queso seco cheese,315,23.8
28,goat cheese soft,75,5.2
29,mozzarella cheese,90,6.7
30,chihuahua cheese,494,28.5
31,limburger cheese,98,6
32,muenster cheese,486,30.9
33,queso fresco cheese,365,22.1
34,brie cheese,100,6.2
35,pimento cheese,525,31
36,mexican cheese,316,27.7
37,feta cheese,80,4.3
38,mozzarella cheese fat free,159,35.8
39,provolone cheese,463,33.8
40,anejo cheese,492,28.3
41,honey,64,0.08
42,apple butter,35,0.045
43,fruit jam,56,0
44,chocolate hazelnut spread,100,1
45,peanut butter,88,3.3
46,peanut spread,101,3.8
47,chicken spread,88,10.1
48,cheese spread,708,17
49,tahini,86,2.7
50,orange marmalade,49,0.014
51,american cheese spread,46,2.6
52,apricot jam,48,0.1
53,chunky peanut butter,94,3.8
54,ham and cheese spread,37,2.4
55,chicken and rice casserole homade,27,2
56,picnic loaf,65,4.2
57,corn tamale,309,5.8
58,baked potato with cheese sauce bacon,451,18.4
59,chinese egg roll,223,7.4
60,butter croissant,231,4.7
61,enchilada with cheese beef,323,11.9
62,corned beef hash with potatoes,387,20.6
63,biscuit with egg cheese bacon,436,17.4
64,bagel with ham egg cheese,483,26.7
65,quesadilla with chicken,529,27.1
66,corn rice,110,1.8
67,kung pao chicken,779,59
68,beef empanada,298,10.1
69,frijoles with cheese,225,11.4
70,burrito with beef,285,9.1
71,crispy chicken sandwich,350,14.8
72,enchilada with cheese,374,15.4
73,pork egg roll,189,8.4
74,corn on the cob with butter,155,4.5
75,pancakes with butter syrup,260,4.1
76,burrito with beans,224,7
77,scrambled eggs,100,6.5
78,baked potato with sour cream,393,6.7
79,turkey and gravy,161,14.1
80,chicken egg roll,158,8.4
81,vegetable egg roll,153,5.2
82,ham cheese roll,67,3.8
83,biscuit with ham,386,13.4
84,lemon chicken,1440,68.6
85,hummus,435,12
86,croissant with egg cheese,368,12.8
87,enchirito with cheese beef beans,344,17.9
88,sweet sour pork,38,1.2
89,crab cake,160,11.3
90,egg dinner roll,107,3.3
91,english muffin with egg cheese sausage,472,22.1
92,buttermilk pancakes,86,2.6
93,omelet,94,6.4
94,taco with chicken cheese lettuce,185,13
95,spinach souffle,230,10.7
96,english muffin with cheese sausage,365,14.3
97,potato gratin,328,12.4
98,biscuit with egg,436,17.4
99,french fries deep fried,222,2.4
100,sweet sour chicken,46,1.8
101,burrito with beans beef,460,27.8
102,nachos with cinnamon sugar,592,7.2
103,arroz con grandules,209,4
104,chili con carne,271,14.7
105,arroz con abichuelas,223,6.2
106,biscuit with sausage,412,10.7
107,vegetarian stew,304,42
108,chicken sandwich with cheese,632,29.4
109,biscuit with egg steak,410,17.9
110,taco salad,212,10
111,succotash,213,9.7
112,nachos with cheese jalapeno peppers,608,16.8
113,biscuit with egg ham,442,20.4
114,ladyfingers,103,3
115,mozzarella steak fried,102,4.6
116,tamale navajo,285,11.7
117,blueberry pancakes,84,2.3
118,chimichanga with beef cheese,443,20.1
119,egg cheese sandwich,340,15.6
120,biscuit with egg bacon,458,17
121,pupusas con queso,300,13.7
122,apple croissant,145,4.2
123,refried red beans,336,11.7
124,tostada with guacamole,180,6.2
125,chicken sandwich,468,30.4
126,fried rice,228,6.5
127,pupusas del cerdo,283,14
128,turkey pot pie,699,25.8
129,cheese croissant,331,7.4
130,chimichanga with beef,425,19.6
131,french toast with butter,178,5.2
132,ham egg cheese sandwich,347,19.2
133,english muffin with butter,189,4.9
134,savoury noodle one pan dinner tandaco,172,0
135,ham cheese sandwich,352,20.7
136,sweet gefilte fish,35,3.8
137,poached egg,72,6.3
138,tostada with beef cheese,315,19
139,tostada with beans cheese,223,9.6
140,pork tamale,247,10.4
141,nachos with cheese,274,3.5
142,pulled pork in barbecue sauce,418,32.8
143,baked potato with cheese sauce,474,14.6
144,baked beans,310,11.1
145,arroz con frijoles,220,6.8
146,taco with beef cheese lettuce,156,6.1
147,burrito with beans cheese beef,165,7.3
148,egg mix,30,2.4
149,falafel,57,2.3
150,taco salad with chili con carne,193,11.6
